unit_id,trajectory_type,simulated_peak_t,simulated_min_t,simulated_max_t
U001,low_resistance_high_recovery,26,49,63
U002,adaptive_growth,20,36,58
U003,high_resistance_low_recovery,19,41,62
U004,high_resistance_low_recovery,18,45,55
U005,low_resistance_high_recovery,20,34,60
U006,low_resistance_high_recovery,26,32,59
U007,low_resistance_high_recovery,23,40,64
U008,adaptive_growth,20,50,58
U009,persistent_decline,19,33,63
U010,moderate_resilience,19,45,60
U011,persistent_decline,19,46,60
U012,low_resistance_high_recovery,24,35,61
U013,persistent_decline,23,47,52
U014,low_resistance_high_recovery,21,34,58
U015,persistent_decline,26,51,62
U016,adaptive_growth,25,41,55
U017,high_resistance_low_recovery,24,40,53
U018,persistent_decline,26,47,61
U019,low_resistance_high_recovery,25,40,64
U020,high_resistance_low_recovery,25,48,60
U021,persistent_decline,25,34,62
U022,low_resistance_high_recovery,25,33,60
U023,adaptive_growth,24,35,53
U024,moderate_resilience,18,33,54
U025,moderate_resilience,26,46,58
U026,adaptive_growth,21,51,58
U027,adaptive_growth,26,40,55
U028,moderate_resilience,24,51,60
U029,low_resistance_high_recovery,18,50,57
U030,adaptive_growth,22,51,61
U031,high_resistance_low_recovery,19,44,62
U032,low_resistance_high_recovery,20,45,60
U033,adaptive_growth,23,36,52
U034,low_resistance_high_recovery,19,46,58
U035,persistent_decline,20,33,53
U036,moderate_resilience,22,51,55
U037,moderate_resilience,22,33,54
U038,low_resistance_high_recovery,24,51,58
U039,low_resistance_high_recovery,20,36,60
U040,high_resistance_low_recovery,20,50,61
U041,adaptive_growth,24,43,59
U042,adaptive_growth,21,41,58
U043,persistent_decline,18,40,57
U044,low_resistance_high_recovery,25,41,59
U045,high_resistance_low_recovery,22,40,55
U046,moderate_resilience,20,51,54
U047,high_resistance_low_recovery,24,46,58
U048,moderate_resilience,24,37,57
U049,low_resistance_high_recovery,21,44,63
U050,moderate_resilience,19,46,53
U051,low_resistance_high_recovery,26,38,62
U052,low_resistance_high_recovery,25,34,61
U053,low_resistance_high_recovery,23,35,60
U054,low_resistance_high_recovery,26,47,61
U055,high_resistance_low_recovery,20,41,64
U056,moderate_resilience,20,37,64
U057,moderate_resilience,24,41,55
U058,moderate_resilience,20,35,55
U059,high_resistance_low_recovery,22,36,61
U060,moderate_resilience,24,44,57
U061,high_resistance_low_recovery,24,33,55
U062,high_resistance_low_recovery,20,48,53
U063,high_resistance_low_recovery,22,49,64
U064,persistent_decline,20,49,62
U065,low_resistance_high_recovery,24,44,55
U066,moderate_resilience,21,41,62
U067,adaptive_growth,24,50,58
U068,low_resistance_high_recovery,22,35,52
U069,adaptive_growth,23,41,61
U070,high_resistance_low_recovery,18,51,57
U071,adaptive_growth,22,46,61
U072,adaptive_growth,21,33,53
U073,high_resistance_low_recovery,18,51,55
U074,adaptive_growth,24,43,64
U075,high_resistance_low_recovery,22,33,61
U076,moderate_resilience,25,50,52
U077,persistent_decline,24,40,56
U078,high_resistance_low_recovery,18,33,52
U079,persistent_decline,21,48,53
U080,persistent_decline,24,51,53
U081,low_resistance_high_recovery,21,44,59
U082,moderate_resilience,23,36,53
U083,low_resistance_high_recovery,22,40,56
U084,moderate_resilience,25,49,58
U085,moderate_resilience,21,50,52
U086,persistent_decline,19,33,58
U087,low_resistance_high_recovery,23,45,53
U088,adaptive_growth,20,49,60
U089,high_resistance_low_recovery,24,36,64
U090,persistent_decline,22,39,60
U091,moderate_resilience,25,39,55
U092,low_resistance_high_recovery,25,35,61
U093,high_resistance_low_recovery,21,36,63
U094,low_resistance_high_recovery,20,41,53
U095,moderate_resilience,22,32,54
U096,low_resistance_high_recovery,19,40,54
U097,low_resistance_high_recovery,26,35,55
U098,low_resistance_high_recovery,25,43,58
U099,moderate_resilience,24,34,61
U100,moderate_resilience,21,50,60
U101,persistent_decline,22,43,62
U102,high_resistance_low_recovery,20,42,63
U103,moderate_resilience,20,36,56
U104,adaptive_growth,19,49,61
