unit_id,month,t,vitality,trajectory_type
U001,2018-01,1,12918.911,low_resistance_high_recovery
U001,2018-02,2,12972.476,low_resistance_high_recovery
U001,2018-03,3,13209.038,low_resistance_high_recovery
U001,2018-04,4,13421.781,low_resistance_high_recovery
U001,2018-05,5,13858.13,low_resistance_high_recovery
U001,2018-06,6,14768.56,low_resistance_high_recovery
U001,2018-07,7,14572.275,low_resistance_high_recovery
U001,2018-08,8,15674.099,low_resistance_high_recovery
U001,2018-09,9,15636.235,low_resistance_high_recovery
U001,2018-10,10,15543.239,low_resistance_high_recovery
U001,2018-11,11,14530.967,low_resistance_high_recovery
U001,2018-12,12,14103.767,low_resistance_high_recovery
U001,2019-01,13,13399.365,low_resistance_high_recovery
U001,2019-02,14,13665.944,low_resistance_high_recovery
U001,2019-03,15,13413.061,low_resistance_high_recovery
U001,2019-04,16,13479.456,low_resistance_high_recovery
U001,2019-05,17,14201.008,low_resistance_high_recovery
U001,2019-06,18,14857.881,low_resistance_high_recovery
U001,2019-07,19,15024.925,low_resistance_high_recovery
U001,2019-08,20,15714.809,low_resistance_high_recovery
U001,2019-09,21,15862.869,low_resistance_high_recovery
U001,2019-10,22,15934.923,low_resistance_high_recovery
U001,2019-11,23,15513.415,low_resistance_high_recovery
U001,2019-12,24,14707.592,low_resistance_high_recovery
U001,2020-01,25,13839.903,low_resistance_high_recovery
U001,2020-02,26,13718.357,low_resistance_high_recovery
U001,2020-03,27,13551.353,low_resistance_high_recovery
U001,2020-04,28,13937.68,low_resistance_high_recovery
U001,2020-05,29,13908.452,low_resistance_high_recovery
U001,2020-06,30,13702.623,low_resistance_high_recovery
U001,2020-07,31,14099.921,low_resistance_high_recovery
U001,2020-08,32,14056.61,low_resistance_high_recovery
U001,2020-09,33,14005.7,low_resistance_high_recovery
U001,2020-10,34,13198.979,low_resistance_high_recovery
U001,2020-11,35,13757.881,low_resistance_high_recovery
U001,2020-12,36,11922.291,low_resistance_high_recovery
U001,2021-01,37,11361.68,low_resistance_high_recovery
U001,2021-02,38,11237.417,low_resistance_high_recovery
U001,2021-03,39,10519.807,low_resistance_high_recovery
U001,2021-04,40,10688.083,low_resistance_high_recovery
U001,2021-05,41,11055.909,low_resistance_high_recovery
U001,2021-06,42,11515.806,low_resistance_high_recovery
U001,2021-07,43,10756.759,low_resistance_high_recovery
U001,2021-08,44,11268.654,low_resistance_high_recovery
U001,2021-09,45,10707.824,low_resistance_high_recovery
U001,2021-10,46,10726.648,low_resistance_high_recovery
U001,2021-11,47,10000.157,low_resistance_high_recovery
U001,2021-12,48,9174.16,low_resistance_high_recovery
U001,2022-01,49,8701.766,low_resistance_high_recovery
U001,2022-02,50,9180.328,low_resistance_high_recovery
